Elf 1: 15, 25, 77, 41, 73, 62, 58, 55, 90, 76
Elf 2: 82, 47, 68, 73, 91, 75, 37, 32, 48, 19
Elf 3: 19, 28, 81, 46, 84, 30, 69, 99, 38, 18
Elf 4: 7, 5, 62, 100, 20, 36, 7, 10, 95, 99
Elf 5: 41, 7, 82, 43, 50, 13, 64, 38, 89, 54
Elf 6: 29, 88, 22, 34, 32, 99, 45, 24, 87, 55
Elf 7: 33, 12, 92, 65, 17, 22, 97, 25, 73, 76
Elf 8: 35, 34, 27, 59, 65, 34, 79, 64, 47, 75
Elf 9: 11, 85, 26, 50, 55, 6, 10, 89, 85, 95
Elf 10: 62, 80, 8, 15, 47, 44, 76, 44, 39, 2
Elf 11: 23, 32, 9, 2, 91, 10, 98, 15, 77, 99
Elf 12: 63, 19, 53, 48, 15, 73, 1, 57, 94, 20
Elf 13: 70, 45, 87, 62, 63, 58, 36, 70, 55, 33
Elf 14: 1, 70, 23, 41, 88, 66, 70, 72, 98, 9
Elf 15: 57, 76, 90, 15, 95, 44, 86, 29, 47, 100
Elf 16: 37, 78, 11, 62, 29, 38, 29, 39, 54, 67
Elf 17: 87, 58, 92, 54, 94, 84, 39, 98, 80, 1
Elf 18: 92, 12, 93, 20, 72, 6, 11, 46, 28, 16
Elf 19: 25, 40, 92, 78, 4, 5, 70, 38, 44, 30
Elf 20: 53, 7, 92, 64, 52, 58, 94, 98, 60, 20
Elf 21: 56, 4, 25, 69, 5, 24, 16, 34, 90, 35
Elf 22: 33, 52, 46, 26, 71, 4, 80, 69, 32, 91
Elf 23: 43, 2, 99, 16, 85, 64, 59, 98, 75, 67
Elf 24: 56, 68, 83, 4, 81, 83, 54, 12, 22, 54
Elf 25: 47, 21, 28, 34, 23, 58, 41, 76, 5, 54
Elf 26: 11, 72, 8, 37, 52, 59, 76, 93, 85, 87
Elf 27: 80, 84, 20, 55, 79, 32, 18, 26, 99, 76
Elf 28: 15, 46, 7, 39, 74, 27, 18, 42, 86, 54
Elf 29: 80, 37, 20, 20, 87, 86, 36, 37, 85, 53
Elf 30: 52, 12, 12, 61, 70, 96, 67, 99, 98, 52
Elf 31: 38, 83, 4, 66, 1, 34, 81, 9, 52, 82
Elf 32: 19, 98, 77, 23, 75, 4, 51, 3, 96, 64
Elf 33: 76, 59, 49, 93, 87, 33, 39, 20, 45, 20
Elf 34: 5, 78, 9, 50, 46, 4, 50, 15, 12, 31
Elf 35: 40, 20, 56, 92, 21, 92, 35, 70, 3, 17
Elf 36: 93, 53, 17, 20, 41, 87, 94, 65, 41, 68
Elf 37: 10, 19, 100, 71, 35, 79, 30, 78, 53, 24
Elf 38: 7, 72, 20, 65, 17, 87, 60, 18, 80, 96
Elf 39: 94, 71, 67, 19, 97, 4, 17, 52, 89, 23
Elf 40: 50, 100, 76, 52, 23, 33, 96, 36, 19, 64
Elf 41: 36, 11, 6, 29, 21, 7, 70, 69, 94, 26
Elf 42: 39, 24, 10, 60, 77, 55, 25, 73, 85, 37
Elf 43: 17, 19, 60, 46, 93, 80, 68, 5, 65, 91
Elf 44: 54, 31, 2, 44, 21, 49, 31, 88, 55, 89
Elf 45: 75, 34, 14, 13, 40, 78, 76, 5, 91, 96
Elf 46: 51, 71, 5, 95, 83, 79, 81, 19, 63, 48
Elf 47: 88, 98, 52, 52, 56, 4, 8, 96, 48, 74
Elf 48: 43, 18, 8, 60, 23, 45, 67, 41, 90, 85
Elf 49: 20, 71, 46, 69, 39, 96, 20, 93, 94, 43
Elf 50: 60, 58, 13, 59, 38, 22, 88, 29, 29, 5
Elf 51: 95, 65, 77, 26, 45, 92, 54, 52, 71, 90
Elf 52: 84, 55, 18, 69, 94, 26, 37, 38, 85, 46
Elf 53: 46, 3, 50, 82, 10, 46, 65, 78, 65, 2
Elf 54: 16, 64, 29, 67, 17, 62, 80, 7, 52, 18
Elf 55: 73, 84, 21, 97, 94, 3, 83, 54, 65, 21
Elf 56: 34, 67, 75, 80, 34, 83, 70, 57, 70, 75
Elf 57: 30, 49, 57, 41, 14, 43, 31, 88, 4, 42
