Fuel: 3992029, plastic: 4710097, wood: 1419553
Fuel: 14102908, plastic: 17652266, wood: 36313627
Fuel: 19929957, plastic: 13136779, wood: 25128924
Fuel: 4706079, plastic: 1492972, wood: 2543803
Fuel: 10750220, plastic: 12541806, wood: 22923980
Fuel: 37960667, plastic: 14449803, wood: 29446666
Fuel: 29566286, plastic: 17144922, wood: 35454736
Fuel: 20345591, plastic: 20286825, wood: 41088943
Fuel: 43634458, plastic: 25413786, wood: 52231815
Fuel: 10154732, plastic: 13018496, wood: 25429912
Fuel: 32208682, plastic: 20223014, wood: 43023609
Fuel: 3232471, plastic: 3991156, wood: 3963876
Fuel: 44875657, plastic: 28420555, wood: 58894602
Fuel: 41793488, plastic: 24983636, wood: 50803015
Fuel: 11509768, plastic: 13579928, wood: 29320628
Fuel: 39529779, plastic: 22561495, wood: 47136594
Fuel: 3954908, plastic: 4101232, wood: 3245453
Fuel: 4523605, plastic: 2570422, wood: 1648993
Fuel: 43101132, plastic: 28560204, wood: 62605774
Fuel: 10575580, plastic: 16921962, wood: 32906870
Fuel: 4786475, plastic: 1999687, wood: 2553816
Fuel: 4218170, plastic: 4319293, wood: 259971
Fuel: 44662276, plastic: 28583582, wood: 59153766
Fuel: 1728385, plastic: 3064874, wood: 3937138
Fuel: 33422349, plastic: 14908423, wood: 31121784
Fuel: 4426469, plastic: 43179, wood: 4890909
Fuel: 25033236, plastic: 23997214, wood: 49802532
Fuel: 42547149, plastic: 24290867, wood: 52457107
Fuel: 3755359, plastic: 66042, wood: 1600142
Fuel: 14739330, plastic: 19039098, wood: 38444513
Fuel: 6022593, plastic: 5933843, wood: 12624353
Fuel: 2085599, plastic: 3602272, wood: 3676534
Fuel: 40991806, plastic: 26461140, wood: 58027344
Fuel: 14915750, plastic: 16781396, wood: 33372201
Fuel: 29636723, plastic: 20641267, wood: 43822573
Fuel: 31904526, plastic: 21128720, wood: 45074614
Fuel: 22403683, plastic: 16124953, wood: 34702001
Fuel: 29711884, plastic: 14528056, wood: 28158483
Fuel: 19978340, plastic: 14219676, wood: 27939724
Fuel: 17678564, plastic: 15755094, wood: 30648363
Fuel: 1784500, plastic: 4864714, wood: 2435848
Fuel: 2483789, plastic: 1977914, wood: 3633702
Fuel: 29041313, plastic: 13179607, wood: 28010593
Fuel: 4514988, plastic: 469535, wood: 3351027
Fuel: 4879569, plastic: 1549036, wood: 1393283
Fuel: 34965521, plastic: 15679071, wood: 33483803
Fuel: 286481, plastic: 2159152, wood: 4884950
Fuel: 4669029, plastic: 2497658, wood: 2360921
Fuel: 38979345, plastic: 25007631, wood: 51629496
Fuel: 32378995, plastic: 11720641, wood: 25725868
Fuel: 31311579, plastic: 25169945, wood: 51409867
Fuel: 3145576, plastic: 540284, wood: 4775133
Fuel: 16274592, plastic: 18323906, wood: 37129367
Fuel: 1803752, plastic: 4698871, wood: 84063
Fuel: 14577301, plastic: 7723071, wood: 13099768
Fuel: 4756442, plastic: 4634546, wood: 2298191
Fuel: 669025, plastic: 15349, wood: 2745569
Fuel: 12886255, plastic: 13483345, wood: 24912850
Fuel: 3429597, plastic: 2450545, wood: 4751149
Fuel: 14427944, plastic: 9543752, wood: 16657765
Fuel: 35055016, plastic: 25603636, wood: 56181573
Fuel: 4780057, plastic: 1443689, wood: 823830
Fuel: 28048, plastic: 3311083, wood: 63771
Fuel: 4307397, plastic: 1276059, wood: 2103883
Fuel: 1934364, plastic: 2209295, wood: 460638
Fuel: 26961878, plastic: 18580614, wood: 38339480
Fuel: 25815172, plastic: 23509346, wood: 50016121
Fuel: 23596169, plastic: 20665695, wood: 43832436
Fuel: 11109182, plastic: 4977810, wood: 8064763
Fuel: 29973, plastic: 3142309, wood: 2530391
Fuel: 1293258, plastic: 2506886, wood: 4883710
Fuel: 17314047, plastic: 19600095, wood: 38693298
Fuel: 12168583, plastic: 18177809, wood: 38121846
Fuel: 2223156, plastic: 4842257, wood: 4773491
Fuel: 34925182, plastic: 19662304, wood: 39160427
Fuel: 22358275, plastic: 19624079, wood: 42328709
Fuel: 3879944, plastic: 616793, wood: 1558903
Fuel: 27176214, plastic: 22774354, wood: 45806294
Fuel: 12012808, plastic: 17072950, wood: 33345673
Fuel: 23643399, plastic: 22453321, wood: 47119036
Fuel: 9974687, plastic: 17445105, wood: 34918578
Fuel: 2129539, plastic: 2747871, wood: 4765589
Fuel: 16269447, plastic: 12163401, wood: 23570672
Fuel: 25909163, plastic: 12383677, wood: 25417423
